Order ID,Date,Customer ID,Product Category,Product Name,Quantity Sold,Unit Price,Payment Method,Shipping Region,Order Status,Total Sales
ORD100000,2024-11-05 12:06:11.610782,CUST8241,CLOTHING,Product 3,7,208.1,creditcard,Europe,Completed,1456.7
ORD100001,2024-09-09 12:06:11.610782,CUST7691,electronics,Product 19,5,124.32,Bank Transfer,Asia,Cancelled,621.6
ORD100002,2024-06-19 12:06:11.610782,CUST1326,home-kitchen,Product 24,5,394.96,PAYPAL,Europe,Completed,1974.8
ORD100003,2024-06-17 12:06:11.610782,CUST1023,home-kitchen,Product 47,4,384.66,Gift Card,Africa,Completed,1538.64
ORD100004,2024-05-15 12:06:11.610782,CUST7873,Beauty & Health,Product 48,5,260.73,PAYPAL,Asia,Completed,1303.65
ORD100005,2024-05-15 12:06:11.610782,CUST6401,electronics,Product 14,7,279.57,Gift Card,Europe,Completed,1956.99
ORD100006,2024-11-05 12:06:11.610782,CUST2928,Sports & Outdoors,Product 25,5,433.66,creditcard,Africa,Cancelled,2168.3
ORD100007,2024-06-18 12:06:11.610782,CUST3660,Sports & Outdoors,Product 13,2,449.01,Gift Card,Africa,Completed,898.02
ORD100008,2024-08-13 12:06:11.610782,CUST2138,Beauty & Health,Product 2,3,253.3,Gift Card,South America,Completed,759.9
ORD100009,2024-04-17 12:06:11.610782,CUST4208,CLOTHING,Product 34,5,472.06,Bank Transfer,South America,Cancelled,2360.3
ORD100010,2024-06-21 12:06:11.610782,,CLOTHING,Product 15,6,337.51,PAYPAL,North America,Cancelled,2025.06
ORD100011,2024-04-22 12:06:11.610782,CUST9585,Beauty & Health,Product 19,7,366.7,PAYPAL,Africa,Completed,2566.9
ORD100012,2024-04-14 12:06:11.610782,CUST7122,electronics,Product 38,5,136.85,PAYPAL,North America,Completed,684.25
ORD100013,2024-08-04 12:06:11.610782,CUST3005,electronics,Product 15,8,382.55,creditcard,Europe,Cancelled,3060.4
ORD100014,2024-08-30 12:06:11.610782,CUST2911,electronics,Product 1,5,107.24,creditcard,South America,Cancelled,536.2
ORD100015,2024-08-07 12:06:11.610782,CUST7547,,Product 3,5,433.77,PAYPAL,South America,Completed,2168.85
ORD100016,2025-02-18 12:06:11.610782,CUST5360,home-kitchen,Product 36,4,395.4,Bank Transfer,Asia,Cancelled,1581.6
ORD100017,2025-01-24 12:06:11.610782,CUST2928,electronics,Product 1,2,68.76,Gift Card,South America,Pending,137.52
ORD100018,2024-11-14 12:06:11.610782,CUST6364,Sports & Outdoors,Product 50,7,428.19,PAYPAL,Asia,Completed,2997.33
ORD100019,2024-07-03 12:06:11.610782,CUST1130,Sports & Outdoors,Product 19,5,301.79,Bank Transfer,North America,Pending,1508.95
ORD100020,2024-12-09 12:06:11.610782,CUST8546,Sports & Outdoors,Product 26,7,341.62,creditcard,North America,Cancelled,2391.34
ORD100021,2024-07-12 12:06:11.610782,CUST6930,Sports & Outdoors,Product 13,10,494.1,creditcard,North America,Completed,4941.0
ORD100022,2024-07-30 12:06:11.610782,,Sports & Outdoors,Product 14,8,61.38,creditcard,Asia,,491.04
ORD100023,2024-04-20 12:06:11.610782,CUST6451,electronics,Product 13,1,98.68,Gift Card,Europe,Pending,98.68
ORD100024,2024-05-14 12:06:11.610782,CUST5089,home-kitchen,Product 24,7,391.97,Bank Transfer,Africa,Pending,2743.79
ORD100025,2024-06-21 12:06:11.610782,CUST4071,home-kitchen,Product 16,1,49.65,PAYPAL,South America,Completed,49.65
ORD100026,2024-06-27 12:06:11.610782,CUST7955,home-kitchen,Product 23,7,340.7,Gift Card,North America,Pending,2384.9
ORD100027,2024-06-05 12:06:11.610782,CUST7856,electronics,Product 27,9,445.97,Bank Transfer,Africa,Cancelled,4013.73
ORD100028,2025-02-06 12:06:11.610782,CUST1503,electronics,Product 39,1,165.59,PAYPAL,South America,Completed,165.59
ORD100029,2024-06-21 12:06:11.610782,CUST3335,CLOTHING,Product 32,10,23.82,PAYPAL,Asia,Pending,238.2
ORD100030,2024-11-03 12:06:11.610782,CUST8739,home-kitchen,Product 37,10,365.64,Gift Card,Europe,Completed,3656.4
ORD100031,2025-01-01 12:06:11.610782,CUST5743,Sports & Outdoors,Product 25,6,267.05,Gift Card,Africa,Cancelled,1602.3
ORD100032,2024-08-27 12:06:11.610782,CUST1286,CLOTHING,Product 30,2,303.64,creditcard,,Completed,607.28
ORD100033,2024-08-02 12:06:11.610782,CUST5876,Sports & Outdoors,Product 19,9,269.87,Gift Card,Africa,Cancelled,2428.83
ORD100034,2025-02-01 12:06:11.610782,CUST2212,Beauty & Health,Product 12,9,122.42,Gift Card,Africa,Pending,1101.78
ORD100035,2024-06-18 12:06:11.610782,CUST5958,home-kitchen,Product 25,1,61.27,creditcard,Asia,Cancelled,61.27
ORD100036,2024-07-12 12:06:11.610782,CUST9136,electronics,Product 45,7,429.22,Bank Transfer,North America,Pending,3004.54
ORD100037,2024-03-18 12:06:11.610782,CUST7344,electronics,Product 1,10,24.21,Bank Transfer,South America,Completed,242.1
ORD100038,2025-01-15 12:06:11.610782,CUST2874,Sports & Outdoors,Product 32,8,18.77,Gift Card,North America,Cancelled,150.16
ORD100039,2024-06-21 12:06:11.610782,CUST9658,electronics,Product 47,10,411.78,Gift Card,Africa,Cancelled,4117.8
ORD100040,2024-04-16 12:06:11.610782,CUST9261,Beauty & Health,Product 27,7,186.97,creditcard,,Completed,1308.79
ORD100041,2024-03-05 12:06:11.610782,CUST6553,Sports & Outdoors,Product 2,6,10.85,creditcard,South America,Cancelled,65.1
ORD100042,2024-12-08 12:06:11.610782,CUST7381,Sports & Outdoors,Product 17,9,41.13,PAYPAL,North America,Cancelled,370.17
ORD100043,2024-10-18 12:06:11.610782,CUST6050,CLOTHING,Product 31,5,78.37,PAYPAL,South America,Cancelled,391.85
ORD100044,2025-01-08 12:06:11.610782,CUST3283,home-kitchen,Product 34,8,383.66,Gift Card,Asia,Pending,3069.28
ORD100045,2024-11-13 12:06:11.610782,CUST5279,,Product 44,1,199.62,Bank Transfer,Europe,Pending,199.62
ORD100046,2024-06-04 12:06:11.610782,CUST4957,Beauty & Health,Product 45,2,33.06,Bank Transfer,North America,Cancelled,66.12
ORD100047,2024-03-01 12:06:11.610782,CUST8195,CLOTHING,Product 5,4,182.21,Gift Card,Asia,Cancelled,728.84
ORD100048,2024-12-03 12:06:11.610782,CUST1134,home-kitchen,Product 18,2,436.96,Bank Transfer,Europe,Cancelled,873.92
ORD100049,2024-12-05 12:06:11.610782,,electronics,Product 48,9,369.37,creditcard,Europe,Cancelled,3324.33
ORD100050,2025-02-08 12:06:11.610782,CUST3425,CLOTHING,Product 30,10,122.03,Bank Transfer,South America,Pending,1220.3
ORD100051,2024-05-28 12:06:11.610782,CUST7146,electronics,Product 34,9,470.26,Gift Card,Europe,Pending,4232.34
ORD100052,2025-02-03 12:06:11.610782,CUST1490,home-kitchen,Product 1,3,301.77,creditcard,North America,Cancelled,905.31
ORD100053,2024-07-08 12:06:11.610782,CUST3041,Beauty & Health,Product 22,9,207.26,Bank Transfer,South America,Cancelled,1865.34
ORD100054,2024-10-20 12:06:11.610782,CUST6621,CLOTHING,Product 2,9,190.37,PAYPAL,North America,Completed,1713.33
ORD100055,2024-11-13 12:06:11.610782,,electronics,Product 30,1,180.19,creditcard,,Pending,180.19
ORD100056,2024-06-20 12:06:11.610782,CUST4832,electronics,Product 40,4,90.35,creditcard,Asia,Cancelled,361.4
ORD100057,2024-03-21 12:06:11.610782,CUST7307,Beauty & Health,Product 29,7,289.76,creditcard,Africa,Cancelled,2028.32
ORD100058,2024-05-04 12:06:11.610782,CUST3302,home-kitchen,Product 38,10,224.21,PAYPAL,Europe,Cancelled,2242.1
ORD100059,2024-08-03 12:06:11.610782,CUST4158,CLOTHING,Product 34,8,111.22,PAYPAL,North America,Pending,889.76
ORD100060,2024-10-19 12:06:11.610782,CUST3143,CLOTHING,Product 4,2,326.19,PAYPAL,Africa,Completed,652.38
ORD100061,2024-11-02 12:06:11.610782,CUST6015,Beauty & Health,Product 2,1,315.79,creditcard,North America,Completed,315.79
ORD100062,2024-09-27 12:06:11.610782,CUST9603,Sports & Outdoors,Product 13,6,428.8,Bank Transfer,South America,Pending,2572.8
ORD100063,2025-01-10 12:06:11.610782,CUST8524,CLOTHING,Product 4,5,175.28,PAYPAL,South America,Cancelled,876.4
ORD100064,2024-03-01 12:06:11.610782,CUST2921,CLOTHING,Product 12,7,100.64,PAYPAL,Africa,Completed,704.48
ORD100065,2025-01-05 12:06:11.610782,CUST3038,Sports & Outdoors,Product 12,3,204.63,creditcard,Europe,Completed,613.89
ORD100066,2025-01-02 12:06:11.610782,CUST6327,Sports & Outdoors,Product 26,2,154.41,creditcard,Europe,Pending,308.82
ORD100067,2024-10-13 12:06:11.610782,CUST8844,CLOTHING,Product 7,7,321.61,Bank Transfer,Africa,Pending,2251.27
ORD100068,2024-10-31 12:06:11.610782,CUST7033,Sports & Outdoors,Product 47,4,492.72,Bank Transfer,Asia,Pending,1970.88
ORD100069,2024-07-24 12:06:11.610782,CUST1125,Beauty & Health,Product 13,3,308.23,PAYPAL,Asia,Cancelled,924.69
ORD100070,2024-03-18 12:06:11.610782,CUST9902,electronics,Product 11,7,9999.99,Bank Transfer,Asia,Completed,1362.48
ORD100071,2024-07-09 12:06:11.610782,CUST2086,,Product 7,3,102.07,creditcard,North America,Pending,306.21
ORD100072,2024-10-02 12:06:11.610782,CUST9136,CLOTHING,Product 30,6,201.75,Bank Transfer,Asia,Completed,1210.5
ORD100073,2025-02-06 12:06:11.610782,CUST9714,Sports & Outdoors,Product 14,10,350.04,PAYPAL,Europe,Completed,3500.4
ORD100074,2024-10-31 12:06:11.610782,CUST1314,home-kitchen,Product 24,6,173.8,PAYPAL,Asia,Pending,1042.8
ORD100075,2025-02-05 12:06:11.610782,CUST5250,CLOTHING,Product 6,2,486.83,Bank Transfer,South America,Cancelled,973.66
ORD100076,2024-03-13 12:06:11.610782,CUST9683,Beauty & Health,Product 41,7,129.1,creditcard,North America,Completed,903.7
ORD100077,2025-02-03 12:06:11.610782,CUST8969,home-kitchen,Product 47,2,36.37,Bank Transfer,South America,Cancelled,72.74
ORD100078,2024-05-31 12:06:11.610782,CUST3158,CLOTHING,Product 10,4,447.16,Gift Card,South America,Pending,1788.64
ORD100079,2024-10-27 12:06:11.610782,CUST4649,CLOTHING,Product 13,1,321.49,PAYPAL,Europe,Pending,321.49
ORD100080,2024-12-06 12:06:11.610782,CUST3051,electronics,Product 13,1,423.73,PAYPAL,South America,Cancelled,423.73
ORD100081,2024-02-29 12:06:11.610782,CUST3687,electronics,Product 27,2,392.0,Bank Transfer,South America,Completed,784.0
ORD100082,2025-01-31 12:06:11.610782,,Beauty & Health,Product 37,7,304.36,PAYPAL,Africa,Cancelled,2130.52
ORD100083,2024-07-01 12:06:11.610782,CUST6200,home-kitchen,Product 5,9,308.16,creditcard,Asia,Cancelled,2773.44
ORD100084,2024-12-07 12:06:11.610782,CUST9596,Beauty & Health,Product 21,9,490.37,creditcard,Europe,Pending,4413.33
ORD100085,2024-03-07 12:06:11.610782,CUST4809,electronics,Product 2,4,18.95,creditcard,Asia,Cancelled,75.8
ORD100086,2024-12-31 12:06:11.610782,,home-kitchen,Product 9,5,118.75,Gift Card,South America,Cancelled,593.75
ORD100087,2024-12-22 12:06:11.610782,CUST3871,electronics,Product 20,2,109.17,PAYPAL,Europe,Pending,218.34
ORD100088,2024-12-23 12:06:11.610782,CUST4753,Sports & Outdoors,Product 19,9,67.35,creditcard,Asia,Cancelled,606.15
ORD100089,2024-06-04 12:06:11.610782,CUST3445,,Product 40,10,180.99,Bank Transfer,Europe,Pending,1809.9
ORD100090,2024-06-04 12:06:11.610782,CUST1409,home-kitchen,Product 44,10,19.13,PAYPAL,North America,Completed,191.3
ORD100091,2024-08-02 12:06:11.610782,CUST6571,Sports & Outdoors,Product 1,9,227.89,creditcard,Europe,Cancelled,2051.01
ORD100092,2024-07-08 12:06:11.610782,CUST3011,CLOTHING,Product 37,8,88.98,creditcard,Africa,Completed,711.84
ORD100093,2024-12-06 12:06:11.610782,CUST9691,home-kitchen,Product 11,4,398.78,Bank Transfer,South America,Completed,1595.12
ORD100094,2024-09-06 12:06:11.610782,CUST5861,Beauty & Health,Product 3,4,134.35,Gift Card,North America,Cancelled,537.4
ORD100095,2024-05-30 12:06:11.610782,CUST6225,Sports & Outdoors,Product 47,6,262.23,PAYPAL,Africa,Cancelled,1573.38
ORD100096,2024-12-09 12:06:11.610782,CUST8826,Beauty & Health,Product 37,3,272.45,Bank Transfer,North America,Pending,817.35
ORD100097,2024-07-31 12:06:11.610782,CUST8365,electronics,,9,91.59,Bank Transfer,North America,Cancelled,824.31
ORD100098,2024-07-26 12:06:11.610782,CUST3891,home-kitchen,Product 46,7,480.6,Bank Transfer,Africa,Pending,3364.2
ORD100099,2025-02-06 12:06:11.610782,CUST8430,Beauty & Health,Product 11,7,92.64,Gift Card,Asia,Pending,648.48
ORD100100,2024-09-28 12:06:11.610782,CUST9124,home-kitchen,Product 44,7,260.19,Gift Card,North America,Cancelled,1821.33
ORD100101,2024-04-28 12:06:11.610782,,Beauty & Health,Product 3,7,339.94,Bank Transfer,South America,Cancelled,2379.58
ORD100102,2024-10-30 12:06:11.610782,CUST5034,Beauty & Health,Product 13,10,81.24,,Asia,Completed,812.4
ORD100103,2024-10-06 12:06:11.610782,,home-kitchen,Product 20,6,47.66,creditcard,Europe,Completed,285.96
ORD100104,2025-01-19 12:06:11.610782,CUST2707,CLOTHING,Product 13,4,48.68,Gift Card,Europe,Pending,194.72
ORD100105,2025-01-27 12:06:11.610782,CUST1327,Sports & Outdoors,Product 43,1,224.91,PAYPAL,Africa,Cancelled,224.91
ORD100106,2025-02-10 12:06:11.610782,CUST3941,Sports & Outdoors,Product 19,5,402.73,PAYPAL,South America,Pending,2013.65
ORD100107,2024-07-16 12:06:11.610782,CUST3506,electronics,Product 26,5,293.7,Bank Transfer,South America,Completed,1468.5
ORD100108,2024-06-09 12:06:11.610782,CUST5695,Sports & Outdoors,Product 48,6,48.73,Gift Card,Europe,Pending,292.38
ORD100109,2024-10-20 12:06:11.610782,CUST1338,Beauty & Health,Product 40,8,275.44,Bank Transfer,Asia,Cancelled,2203.52
ORD100110,2024-05-21 12:06:11.610782,CUST3624,home-kitchen,Product 29,1,333.21,Bank Transfer,Europe,Cancelled,333.21
ORD100111,2024-10-22 12:06:11.610782,CUST8089,Beauty & Health,Product 33,8,263.29,creditcard,South America,Cancelled,2106.32
ORD100112,2024-04-18 12:06:11.610782,CUST5299,electronics,Product 46,4,245.95,PAYPAL,Africa,Cancelled,983.8
ORD100113,2024-11-26 12:06:11.610782,CUST5966,Sports & Outdoors,Product 30,4,445.89,Bank Transfer,South America,Cancelled,1783.56
ORD100114,2024-05-07 12:06:11.610782,CUST8548,,Product 24,2,79.51,Gift Card,South America,Cancelled,159.02
ORD100115,2024-02-26 12:06:11.610782,CUST5907,CLOTHING,,4,308.09,Bank Transfer,Africa,Cancelled,1232.36
ORD100116,2024-05-21 12:06:11.610782,CUST7417,home-kitchen,Product 20,8,140.45,creditcard,North America,Completed,1123.6
ORD100117,2025-01-19 12:06:11.610782,CUST6626,Beauty & Health,Product 26,5,118.95,Bank Transfer,South America,Cancelled,594.75
